Va,Vb,Vc,Ia,Ib,Ic,fault_type
7.003774692,8900.29173,2.127375281,2645.038464,19.07566497,2230.669866,PACTG
6.891484365,8965.94436,1.989837578,2651.540191,19.66882275,2249.415913,PACTG
6.779137533,9030.83252,1.851613174,2658.340116,20.2612627,2268.493988,PACTG
6.666656472,9094.960734,1.712741781,2665.378744,20.85190586,2287.846074,PACTG
6.553761285,9158.312776,1.573437913,2672.407499,21.43963679,2307.226369,PACTG
6.440088702,9220.856153,1.434012532,2679.088091,22.02382625,2326.298875,PACTG
6.325343413,9282.55482,1.294755988,2685.127592,22.60463435,2344.770927,PACTG
6.209420688,9343.384091,1.155827537,2690.395174,23.18292884,2362.509337,PACTG
6.092450755,9403.340443,1.017195691,2694.973925,23.75985465,2379.592812,PACTG
5.974748321,9462.441342,0.878653444,2699.12713,24.33626301,2396.279743,PACTG
5.856688139,9520.714905,0.739903595,2703.192631,24.91226271,2412.904295,PACTG
5.738557976,9578.184039,0.600680836,2707.447579,25.48711355,2429.742325,PACTG
5.620448148,9634.85259,0.460863,2711.997665,26.05953446,2446.900653,PACTG
5.502221891,9690.700347,0.320526473,2716.735028,26.62828328,2464.273915,PACTG
5.383576941,9745.689517,0.17992312,2721.38152,27.19272834,2481.586164,PACTG
5.264172891,9799.77987,0.039386517,2725.59993,27.75314747,2498.500579,PACTG
5.143772034,9852.945636,-0.100795589,2729.128608,28.31060451,2514.753424,PACTG
5.022337366,9905.186071,-0.240492427,2731.885699,28.86643903,2530.258752,PACTG
4.900048903,9956.524384,-0.379779612,2734.001406,29.42160845,2545.142065,PACTG
4.777233436,10006.99525,-0.518906335,2735.765544,29.97620019,2559.689495,PACTG
4.654236598,10056.62656,-0.658192086,2737.511452,30.5293404,2574.23287,PACTG
4.531289413,10105.42381,-0.79789393,2739.482743,31.07955204,2589.016601,PACTG
4.408422286,10153.36469,-0.938096995,2741.736106,31.62541568,2604.099556,PACTG
4.285460158,10200.40674,-1.078673182,2744.118918,32.1662223,2619.331125,PACTG
4.162099004,10246.50476,-1.219325424,2746.330447,32.70230131,2634.41099,PACTG
4.038032539,10291.63001,-1.359700978,2748.04209,33.23487101,2649.008678,PACTG
3.913077802,10335.78232,-1.499528339,2749.028541,33.76547153,2662.895101,PACTG
3.787250248,10378.98902,-1.63872306,2749.257508,34.29522581,2676.03353,PACTG
3.660759173,10421.29114,-1.777418728,2748.902258,34.82427735,2688.593655,PACTG
3.533927028,10462.72267,-1.915909943,2748.272102,35.35168021,2700.883177,PACTG
3.407065101,10503.29285,-2.054529231,2747.688708,35.87579328,2713.224285,PACTG
3.28035553,10542.97948,-2.193507614,2747.357697,36.39500376,2725.824445,PACTG
3.153785647,10581.73681,-2.332874888,2747.286767,36.90845982,2738.693116,PACTG
3.027159956,10619.51466,-2.472441004,2747.28294,37.41646553,2751.637655,PACTG
2.900183441,10656.28,-2.611866566,2747.029904,37.92033947,2764.340009,PACTG
2.772583046,10692.03108,-2.750794771,2746.214456,38.42180195,2776.483478,PACTG
2.644218904,10726.79739,-2.888991132,2744.651521,38.92216857,2787.878855,PACTG
